Company,Sub-processor,Service category / What they do
Windsurf,Oracle Cloud,"We manage Oracle Cloud's compute for training some of our custom models, as well as hosting some of our custom models. Our cluster in Frankfurt, Germany runs on Oracle Cloud."
Windsurf,Palantir,"We have utilized Palantir's FedStart program to achieve FedRAMP High accreditation, and serve our FedRAMP High customers through FedStart."
Windsurf,AWS,We utilize AWS GovCloud within Palantir's FedStart program to serve our customer models for our FedRAMP High customers. We also leverage AWS Bedrock to serve some of Anthropic's models.
Windsurf,OpenAI,We have a zero data retention agreement with OpenAI. Enterprise administrators can disable use of OpenAI models for their organization. We offer the optionality of using OpenAI's models for various AI requests. We may leverage OpenAI models independent of user selection for processing other tasks (e.g. for summarization).
Windsurf,Anthropic,"We offer the optionality of using Anthropic's models for various AI requests. We may leverage Anthropic models independent of user selection for processing other tasks (e.g. for summarization). We have a zero data retention agreement with Anthropic. Team and Enterprise administrators can disable use of Anthropic models for their organization. Enterprise customers using our EU cluster will be utilizing Anthropic models served from an AWS Bedrock instance in Zurich, Switzerland. Enterprise customers using our FedRAMP environment will be utilizing Anthropic models served from an AWS Bedrock instance in an AWS GovCloud region."
Windsurf,Google Cloud Vertex API,We offer the optionality of using Google Cloud Vertex API's models for various AI requests. We may leverage these models independent of user selection for processing other tasks (e.g. for summarization). We have a zero data retention agreement with Google Vertex Cloud. Enterprise administrators can disable use of these models for their organization.
Windsurf,xAI,We offer the optionality of using xAI's models for various AI requests. We may leverage xAI's models independent of user selection for processing other tasks (e.g. for summarization). We have a zero data retention agreement with xAI. Enterprise administrators can disable use of these models for their organization.
Windsurf,Fireworks,We offer the optionality of using DeepSeek models for various AI requests. We have a zero data retention agreement with Fireworks. Enterprise administrators can enable use of these models for their organization.
Windsurf,Bing API,"Used for web search functionality. The search query that is sent to the Bing API to retrieve website data is derived from the user's inputs, past conversation history, and potentially code data. We do not have a zero data retention agreement with Bing, so this must be explicitly enabled by Team and Enterprise administrators."
Windsurf,PagerDuty,We use PagerDuty for alerts and on call. This has no access to customer data of any form.
Windsurf,Slack,We use Slack for internal communications. We may discuss logs of data for debugging purposes from users that are not using Zero-data retention mode.
Windsurf,Google Workspace,We use Google Workspace for collaboration. We may discuss logs of data for debugging purposes from users that are not using Zero-data retention mode.
Windsurf,Firebase,"We use Firebase for customer authentication (without SSO). Firebase may contain some personal data (name, email address)."
Windsurf,Okta,We use Okta for internal identity and access management to maintain security of all internal systems. Okta does not have access to customer data of any form.
Windsurf,Stripe,"We use Stripe to handle billing. Stripe may contain your personal data (name, credit card, address), but cannot access code data."
Windsurf,Vercel,We use Vercel to deploy our website. The website cannot access code data.
Windsurf,Mintlify,We use Mintlify to deploy our docs site. The docs site cannot access code data.
Windsurf,Zendesk,"We use Zendesk for customer support. Zendesk has no direct access to code data or logs, but may store logs provided by users for debugging purposes."
Windsurf,Retool,We use Retool for dashboards to view usage analytics and aggregate statistics. We may expose logs of data for debugging purposes from users that are not using Zero-data retention mode.
Windsurf,Metabase,We use Metabase for dashboards to view usage analytics and aggregate statistics. We may expose logs of data for debugging purposes from users that are not using Zero-data retention mode.
Windsurf,Tableau,We use Tableau for dashboards to view usage analytics and aggregate statistics. We may expose logs of data for debugging purposes from users that are not using Zero-data retention mode.
Windsurf,Salesforce,"We use Salesforce for enterprise customer account management. Salesforce may contain personal data (ex. name, email), but cannot access code data."
Windsurf,Hubspot,"We use Hubspot for marketing efforts. Hubspot may contain personal data (ex. name, email) for marketing campaign purposes, but cannot access code data."
Windsurf,Brevo,We use Brevo for email campaigns. Brevo cannot access code data.
Vercel,Amazon Web Services (AWS),"Hosting,  storage  and generative AI services"
Vercel,Google,"Cloud computing, storage  and generative AI services"
Vercel,Microsoft,"Hosting, storage and generative AI services"
Vercel,Datadog,Cloud monitoring and security services
Vercel,Honeycomb,Real-time monitoring and debugging service
Vercel,Redis,Real-time logging and security services
Vercel,WorkOS,Audit log services
Vercel,Algolia,Real-time site search services
Vercel,Knock Labs,Customer notification services
Vercel,Salesforce,Customer relationship management (CRM) and support services
Vercel,Stripe,Payment processing services
Vercel,Tinybird,Analytics services
Vercel,tray.io,Customer support process automation and productivity platform
Vercel,Twilio,Customer communication services
Vercel,Upstash,Serverless storage services
Vercel,Neon,Serverless storage services
Vercel,Kasada,Fraud prevention services
Vercel,Discourse,Community support and communication services
Vercel,ClickHouse,Analytics services
Vercel,OpenAI,Generative AI services
Vercel,Fireworks AI,Generative AI services
Vercel,Anthropic,Generative AI services
Vercel,Exa.ai,AI search services
Vercel,Plain,Customer support services
Vercel,Groq,Generative AI services
Scale AI,"Amazon Web Services, Inc.",Infrastructure Provider
Scale AI,Atlassian Pty Ltd. (Jira),Project Management
Scale AI,"CloudFlare, Inc.",Caching
Scale AI,Civilized Discourse Construction Kit Inc. (“Discourse”),Messaging and Support
Scale AI,"Datadog, Inc.",Monitoring and Alerts
Scale AI,"Elasticsearch, Inc.",Search
Scale AI,"Figma, Inc.",Custom Labeling Workflow Design
Scale AI,"FiveTran, Inc.",Analytics
Scale AI,"Fullstory, Inc.",Application Monitoring
Scale AI,"Functional Software, Inc. (dba Sentry.io)",Monitoring and Alerts
Scale AI,Google LLC (Google Cloud Platform),Infrastructure Provider
Scale AI,Google LLC (Workspace),Productivity
Scale AI,"Linear Orbit, Inc.",Project Management
Scale AI,Microsoft Corporation (Microsoft 365),Productivity
Scale AI,"MongoDB, Inc. (Atlas)",Database
Scale AI,"Segment.io, Inc.",Analytics
Scale AI,"Shortcut Software Company (f/k/a Clubhouse Software, Inc.)",Project Management
Scale AI,"Slack Technologies, Inc.",Messaging and Support
Scale AI,Snowflake Inc.,Analytics
Scale AI,"Tableau Software, LLC (a Salesforce Company)",Analytics
Scale AI,TeleworkPH,Annotations and Labeling
Scale AI,"Zendesk, Inc.",Customer Success Tools
Scale AI,Scale AI Germany GmbH,
Scale AI,Scale AI Global MX S de RL de CV,
Scale AI,"Smart Ecosystem, Inc.",
Scale AI,"Smart Ecosystem Philippines, Inc.",
Scale AI,Scale AI Hungary Kft.,
Gong,Gong.io Ltd.,Providing the Gong service
Gong,"Amazon Web Services, Inc.","Cloud services, language transcription, application AI functionality"
Gong,"MongoDB, Inc.",Data storage and querying
Gong,"Mailgun Technologies, Inc.",Transactional email
Gong,"Twilio, Inc.",VOIP and text message notifications
Gong,Gongio Ireland Limited,A wholly-owned Gong subsidiary
Gong,Google Cloud EMEA Limited,"Cloud services, language transcription, application AI functionality"
Gong,Snowflake Inc.,Data storage and querying
Gong,Microsoft Ireland Operations Limited,Azure cloud services and application AI functionality
Sierra,"Amazon Web Services, Inc.","Data storage, cloud hosting, and model serving (e.g., large language models)"
Sierra,"Anthropic, PBC","Model serving (e.g., large language models)"
Sierra,Google LLC,"Model serving (e.g., large language models)"
Sierra,Microsoft Corporation,"Model serving (e.g., large language models)"
Sierra,"OpenAI, L.L.C.","Model serving (e.g., large language models)"
Sierra,"Deepgram, Inc.",Speech-to-text transcription
Sierra,Eleven Labs Inc.,Speech-to-text transcription and text-to-speech audio generation
Sierra,Twilio Inc.,Telephony
Sierra,"Cloudflare, Inc.",Content Delivery Network and Edge web serving
Sierra,"Salesforce, Inc. (Slack)",Communication and collaboration; Customer Service
Sierra,"WorkOS, Inc.",Authentication and identity management
Mistral,Microsoft Inc.,Cloud Infrastructure
Mistral,Google LLC,Cloud Infrastructure
Mistral,Stripe Inc.,Payment and Billing
Mistral,Get Lago Corp.,Billing
Mistral,Blackforest Labs Inc.,Image Generation
Mistral,"Brave Software, Inc.",Web Search
Mistral,Cerebras Systems Inc.,Flash Answers
Mistral,"Foundrylabs, Inc.",Code Interpreter (E2B.dev)
Mistral,Intercom Inc.,User support
Mistral,Kong Inc.,Security (API)
Mistral,Ory Corp.,User Authentication
Mistral,Merge API Inc.,Connectors on Le Chat - Transfer ACL and data from the third-party service to le Chat
Mistral,"Plus Five Five, Inc. (Resend)",Email communications
Mistral,Twilio Inc.,Phone number verification
Notion,AWS,Hosting and storage systems provider
Notion,Anthropic,Service provider for hosting large language models and embeddings
Notion,Confluent,Kafka managed streaming storage platform used for in-product audit log data and analytics
Notion,Cloudflare,"Content distribution, security, abuse prevention and DNS services"
Notion,DeepL,Translation services
Notion,Fireworks,Service provider for hosting large language models and embeddings
Notion,OpenAI,Service provider for hosting large language models and embeddings and for abuse prevention
Notion,Splunk,Security and application logging
Notion,Turbopuffer,Vector database for storing embeddings
Notion,Twilio,Multi-factor Authentication
Notion,Exa,Service provider for providing web search results.
Notion,Google LLC,Service provider for hosting large language models and embeddings.
Notion,Cerebras Systems Inc.,Service provider for hosting large language models and embeddings.
Notion,"StarTree, Inc.",Storage platform used for in-product analytics
Notion,"Baseten Labs, Inc.",Service provider for hosting large language models and embeddings
Notion,Teleperformance,Support services
Notion,Amplitude,Event logging for analytics
Notion,Customer.io,"Transactional, broadcast, and marketing messaging"
Notion,Fivetran,Data pipeline for connecting systems to our data warehouse
Notion,"Mailgun Technologies, Inc.","Transactional, broadcast, and marketing messaging"
Notion,"Notion Labs, Ireland Limited",Support services
Notion,Brain Capital Labs PVT Ltd.,Support services
Notion,"Notion Labs Japan, G.K.",Support services
Notion,Notion International Inc.,Support services
Notion,Notion Labs Australia Pty Ltd,Support services
Notion,"Notion Labs United Kingdom, Private Limited",Support services
Notion,Notion Labs Korea Ltd,Support services
Notion,AWS,Hosting and storage systems provider
Notion,Cloudflare,"Content distribution, security, abuse prevention and DNS services"
Notion,Amplitude,Event logging for analytics
Notion,Customer.io,"Transactional, broadcast, and marketing messaging"
Notion,"Mailgun Technologies, Inc.",Transactional messaging
Sambanova,Amazon Web Services,Cloud provider
Sambanova,GitHub,Version control
Sambanova,Google Cloud Platform,Cloud provider
Sambanova,Google Workspace,Identity provider
Sambanova,Jamf,IT
Sambanova,Jira,Collaboration
Sambanova,KnowBe4,Employee management
Sambanova,Okta,Identity provider
Sambanova,Sumo Logic,Cloud monitoring
Sambanova,Vanta,Security
Runway,"Amazon Web Services, Inc.",Cloud provider
Runway,Google LLC (Google Cloud),Cloud provider; content moderation and processing
Runway,"Castle Global, Inc. (Hive)",Content moderation
Runway,"Anthropic, PBC",Content moderation and processing
Runway,"AssemblyAI, Inc.",Video transcription (only if certain features used)
Runway,"Dolby Laboratories, Inc.",Audio processing (only if certain features used)
Runway,Eleven Labs Inc.,Voice model training (only if certain features used)
Fireworks AI,Amazon Web Services,Cloud infrastructure and service provider
Fireworks AI,Google Cloud Platform,Cloud infrastructure and service provider
Fireworks AI,Oracle Cloud Infrastructure,Cloud infrastructure and service provider
Fireworks AI,CloudFlare,Content delivery network provider
Fireworks AI,Vercel,Frontend hosting
Fireworks AI,Pylon,Customer support platform
Fireworks AI,Linear,Internal support collaboration
Fireworks AI,Discord Inc.,Communication services
Fireworks AI,Slack,Collaboration
Fireworks AI,Lambda Labs,Infrastructure provider
Fireworks AI,Crusoe,Infrastructure provider
Fireworks AI,Voltage Park,Infrastructure provider
Fireworks AI,Vultr,Infrastructure Provider
Cognition AI,Anthropic,AI Provider
Cognition AI,Amazon Web Services (AWS),Cloud Service Provider
Cognition AI,Microsoft Azure,Cloud Service Provider
Cognition AI,OpenAI,AI Provider
Cognition AI,Datadog,Logging and monitoring solution
Cognition AI,Sentry,Error monitoring and alerting tool
Cognition AI,Stripe,Payment processing
Cognition AI,Pylon,Help desk ticketing system
Cognition AI,SendGrid,Email API
Cognition AI,HubSpot,CRM
Cognition AI,auth0 by Okta,Authentication & User Management
Cognition AI,Hotjar,Error monitoring tool
Cognition AI,Vercel,Cloud Service Provider
Cognition AI,Google Cloud,Cloud Service Provider
Cognition AI,Fireworks AI,AI Infrastructure Provider
Cognition AI,Zendesk®,-
Cognition AI,Cerebas,-
Eleven Labs,Google,"Cloud infrastructure and security, and data storage via the connected Firebase (part of GCP) & LLM Services."
Eleven Labs,Asana,Asana is used to track tickets and issues from a help desk perspective.
Eleven Labs,Stripe,Backend of payment infrastructure of applicable users.
Eleven Labs,Slack,Slack is used for communication with clients and to manage support tickets
Eleven Labs,Zendesk,"Zendesk is a customer service platform used to manage support tickets, track customer inquiries, and provide help desk solutions"
Eleven Labs,PostHog,"PostHog is used for product analytics, allowing to gather insights about website interactions and gather insights to improve services."
Eleven Labs,Pylon,Pylon (usepylon) is used to sync data between Slack and Zendesk and offer integrations to improve customer service
Eleven Labs,Zapier,Zapier helps sync data between customer service tools to offer better integration and response times to issues. Service does not perform any data storage.
Eleven Labs,Sigma Computing,Sigma is a business intelligence tool that helps in analyzing data by creating visual reports and dashboards for decision-making. Service does not perform any data storage.
Eleven Labs,Trustpilot,ElevenLabs leverages TrustPilot to obtain and verify reviews of ElevenLabs’ services from its non-enterprise customers.
Eleven Labs,ElevenLabs Affiliates,ElevenLabs leverages its affiliates in connection with providing Services to its customers.
Eleven Labs,OpenAI,LLM Services
Eleven Labs,Census,Census helps to sync data between data warehouses.
Eleven Labs,Cinder,"Platform for abuse detection, moderation and enforcement."
Eleven Labs,Twilio,Twilio provides communication APIs for sending messages Service provides MFA with SMS integration
Eleven Labs,Fivetran, Fivetran is a data integration platform that helps to move data from various sources into a data warehouse for analysis.
Eleven Labs,xAI,LLM Services
Eleven Labs,Microsoft Azure,Cloud infrastructure and data storage option (availability subject to ElevenLabs' discretion) & LLM Services
Eleven Labs,Amazon Web Services (AWS),Cloud infrastructure and data storage option (availability subject to ElevenLabs' discretion)
Eleven Labs,OWND ApS (ParaHelp),"ParaHelp provides AI based automated support, for faster first line support resolutions."
Crusoe,Google Cloud Platform,Cloud service provider
Crusoe,Mailgun,Transactional email
Crusoe,Stripe,Payment processing
Crusoe,Zendesk,Customer support
Crusoe,Sentry,Application Error Tracking
Crusoe,Mixpanel,Application analytics
Crusoe,Decart,AI Model Provider
Baseten,AWS,Infrastructure Services
Baseten,Google,"Infrastructure services (in some instances), email, office applications"
Baseten,Oracle,Infrastructure services (in some instances)
Baseten,Lambda Labs,Infrastructure services (in some instances)
Baseten,Crusoe,Communication
Baseten,Stripe,Payment processing
Baseten,Salesforce,CRM
Baseten,Pylon,Customer support platform
Baseten,Clazar,Marketplace interface platform
Baseten,Hubspot,CRM
Baseten,Orb,Invoicing
Neon,Zendesk,Customer service software
Neon,Productboard Inc.,Product Analytics
Neon,Stripe,Credit Card Processing
Neon,DocuSign,Document Management
Neon,Grafana,Infrastructure service provider
Neon,Google Workspace,Internal and External Communications Document Management System
Neon,Google Analytics,Analytics
Neon,Typeform,Feedback forms
Neon,Intuit Inc (Quickbooks),Billing
Neon,Amazon Web Services,Infrastructure service provider
Neon,Hubspot,"Customer relationship management, analytics & marketing"
Neon,Notion,Internal Communications
Neon,Orb,Billing
Neon,Segment,Customer Data Platform and analytics
Neon,Sentry,Infrastructure service provider
Neon,Slack,Internal Messenger
Neon,Snowflake,Data Analytics
Neon,Zapier,Integration for Feedback
Neon,Grain,Video recording
Neon,Madkudu,Marketing
Neon,Microsoft Azure,Infrastructure service provider
Neon,"Peaberry Software, Inc. (trading as Customer.io)",Marketing
Neon,"Linear Orbit, Inc.",Product Development
Neon,Posthog,Analytics
Neon,Render,Cloud Infrastructure provider
Neon,Safebase,Trust Center
Neon,Motif Land Inc.(trading as Markprompt),AI Agent for Customer Support
Neon,Avalara,Compliance
Neon,Clay Labs,Marketing
Neon,Clickhouse Inc.,Infrastructure service provider
Neon,Yess.ai,Marketing
Neon,Shadowfax Inc.,AI Data Engineer
Databricks,"Amazon Web Services, Inc.",Cloud Service Provider
Databricks,Google LLC,Cloud Service Provider
Databricks,Microsoft Corporation,Cloud Service Provider
Databricks,Oracle Corporation,Cloud Service Provider
Databricks,"OpenAI, L.L.C.",AI-backed services
Databricks,Twilio Inc.,"Provide customer communications, including in-product messaging and email."
Databricks,Atlassian Pty Ltd.,Customer support and ticket handling.
Databricks,Microsoft Corporation,Customer support (in Microsoft Teams).
Databricks,"salesforce.com, inc.",Customer support ticketing.
Databricks,"Slack Technologies, Inc.",Customer support.
Databricks,"SupportLogic, Inc.",Monitor quality of service in responding to support tickets.
Databricks,Databricks Federal LLC,Provision of technical and operational support to Databricks Services.
Databricks,Databricks B.V.,The Netherlands
Databricks,Databricks U.K. Limited,United Kingdom
Databricks,Databricks Australia Pty Ltd,Australia
Databricks,Databricks SARL,France
Databricks,Databricks GmBH,Germany
Databricks,Databricks Asiapac Unified Analytics Pte. Ltd.,Singapore
Databricks,Databricks Japan K.K.,Japan
Databricks,Databricks India Private Limited,India
Databricks,Databricks Canada ULC,Canada
Databricks,Databricks Italy S.r.l.,Italy
Databricks,Databricks Sweden AB,Sweden
Databricks,Databricks Switzerland GmbH,Switzerland
Databricks,Databricks Spain S.L.,Spain
Databricks,Databricks Korea LLC,South Korea
Databricks,Databricks New Zealand Limited,New Zealand
Databricks,Databricks Costa Rica SRL,Costa Rica
Databricks,Databricks doo Beograd,Serbia
Databricks,Databricks Brazil Ltda.,Brazil
Databricks,Databricks Arabia Ltd,Saudi Arabia
Databricks,Databricks Denmark Lps,Denmark
Databricks,Databricks Mexico S. de R.L. de C.V.,Mexico
Databricks,Databricks Israel Ltd,Israel
Clay,Amazon Web Services,Cloud provider
Clay,Amplitude,Data analytics
Clay,Anthropic,LLM provider/hosting
Clay,Braintrust,LLM Operations
Clay,Datadog,APM and security
Clay,Segment,Data analytics
Clay,Snowflake,Data analytics
Clay,ClickHouse,Database
Clay,Browserbase,LLM Operations
Clay,Cohere,LLM operations
Clay,Cube Dev,Data analytics
Clay,Fireworks,LLM provider/hosting
Clay,Fivetran,Data ETL
Clay,Google Gemini,LLM provider/hosting
Clay,Grafana,Logging and metrics
Clay,Intercom,Customer support
Clay,Langsmith,LLM logging and tracing
Clay,Mezmo,Logging and metrics
Clay,Mistral,LLM provider/hosting
Clay,OpenAI,LLM provider/hosting
Clay,Parallel Web Systems,LLM operations
Clay,Postmark,Email service provider
Clay,Raindrop.ai,LLM operations
Clay,Sentry,Error logging
Clay,SerpApi,LLM operations
Clay,Serper,LLM operations
Clay,Smartlead,Email sequencer
Clay,Slack,Customer Support
Clay,Turbopuffer,Vector Database
Clay,Verisoul,Fraud Detection
Clay,WorkOS,Authentication support
Clay,Zapier,Data imports
Clay,Zenrows,LLM operations
Glean,Google Inc.,Cloud Service Provider
Glean,"Amazon Web Services, Inc.",Cloud Service Provider
Glean,"Intercom, Inc. (optional)",Cloud-based Customer Support Services (info shared: name and email address of the user)
Glean,"Sendgrid, Inc","Email Provider (info shared: first name, last name and email of the sender and recipient, document titles, document URLs, employee profile photo, employee join date)"
Glean,"OpenAI, Inc (optional)","Generative AI provider (info shared: User’s query and title, metadata and snippets from documented results. Metadata includes author name, date, document type)"
Glean,Azure (optional),"Generative AI provider (info shared: User’s query and title, metadata and snippets from document results. Metadata includes author name, date, document type)"
Glean,Glean,Emails sent to Sendgrid go through Glean’s GCP project (not persisted). Info shared is the same as Sendgrid
Pinecone,Confluent,Event Streaming
Pinecone,Pylon,Customer service and technical support
Pinecone,Amazon Web Services (AWS),Cloud infrastructure and hosted services
Pinecone,Microsoft Azure,Cloud Infrastructure
Pinecone,Salesforce,Customer service and technical support
Pinecone,Google,Cloud infrastructure and hosted services
Pinecone,Twilio,Customer notifications
Pinecone,Pinecone Systems Ltd.,Operating affiliate
Pinecone,Pinecone Systems UK Ltd.,Operating affiliate
Cohere,Google Cloud,"Infrastructure service provider
Location: USA"
Cohere,Fullstory,"Software delivery platform
Location: USA"
Cohere,LaunchDarkly,"Feature Flagging
Location: USA"
Cohere,New Relic,"Platform Monitoring
Location: USA"
Cohere,Retool,"Software delivery platform
Location: USA"
Cohere,Upollo,"Fraud and Abuse Detection
Location: USA, Australia"
Cohere,Hotjar,"Customer support
Location: USA"
Cohere,Sentry IO,"Event and Error Handling
Location: USA"
Cohere,Segment,"Event and Error Handling
Location: USA"
Cohere,Sendgrid,"Email Communications 
Location: USA"
Cohere,Stripe,"Billing
Location: USA"
Cohere,Intercom,"Customer support
Location: USA"
Cohere,Vercel,"Web Application Hosting  
Location: USA"
Cohere,Active Fence,"Trust and Safety
Location: USA"
Hebbia,Amazon Web Services,Cloud provider
Hebbia,Google [Gemini + Workspace],LLM + Email/Drive
Hebbia,OpenAI,LLM
Hebbia,Anthropic,LLM
Hebbia,Elastic,Search index
Hebbia,Auth0,Identity provider
Hebbia,Cerebras,LLM Infrastructure Hosting
Hebbia,BaseTen,LLM Infrastructure Hosting
Hebbia,Fireworks.ai,LLM Infrastructure Hosting
Hebbia,Groq,LLM Infrastructure Hosting
Granola,"Anthropic, PBC","AI features such as note generation, ability to chat with notes, or generate artifacts such as follow up emails."
Granola,OpenAI,AI API
Granola,Deepgram,Transcription
Granola,"Retool, Inc.",Internal dashboards and tooling
Granola,Amazon Web Services,Cloud provider
Granola,Sentry,Cloud monitoring
Granola,"Stripe, Inc.",Payment processor
Granola,Vocify Inc.d/b/a Vellum,Proxy for LLM calls
Granola,"AssemblyAI, Inc.",Transcription
Granola,Posthog,"Product analytics, session replays, feature flags, A/B testing, surveys"
Granola,Braintrust,Evaluate and test AI performance
Granola,DBT Cloud,SQL-based data transformation and orchestration
Granola,GitHub,Version control
Granola,Plain,Customer support platform
Granola,Polytomic,Data storage and processing
Granola,Omni,BI and analytics tool
Granola,WorkOS,Engineering
Granola,Twilio,Engineering
Cyera,Cyera Ltd.,
Cyera,Cyera Canada Inc.,
Cyera,Cyera UK Ltd.,
Cyera,"Cyera US, Inc.",
Cyera,Trail Security Inc.,
Cyera,Trail Security Ltd.,
Cyera,"Amazon Web Services, Inc.",Hosted Services Provider
Cyera,Google Cloud Platform,Hosted Services Provider
Cyera,Microsoft Azure,Hosted Services Provider
Cyera,Oracle Cloud,Hosted Services Provider
Cyera,Snowflake,Data analytics warehouse
Cyera,Frontegg,User authentications
Cyera,Coralogix,Internal application Log collection. No user information collected
Cyera,Tableau,BI Tools
Cyera,Clickhouse,Logging services
Jasper,Amplitude,Analytics & Reporting
Jasper,dbt Cloud,Analytics & Reporting
Jasper,Fivetran,Analytics & Reporting
Jasper,Mode,Analytics & Reporting
Jasper,Productboard,Analytics & Reporting
Jasper,Chargehound,Billing
Jasper,Churnkey,Billing
Jasper,Maxio,Billing
Jasper,Orb,Billing
Jasper,Stripe,Billing
Jasper,Google Workspace,Email
Jasper,SendGrid,Email
Jasper,LaunchDarkly,Engineering
Jasper,FingerprintJS,Fraud Prevention
