Company,Sub-processor,Service category / What they do
Databricks,"Amazon Web Services, Inc.",Cloud Service Provider
Databricks,Google LLC,Cloud Service Provider
Databricks,Microsoft Corporation,Cloud Service Provider
Databricks,Oracle Corporation,Cloud Service Provider
Databricks,Twilio Inc.,"Provide customer communications, including in-product messaging and email."
Databricks,Atlassian Pty Ltd.,Customer support and ticket handling.
Databricks,Microsoft Corporation,Customer support (in Microsoft Teams).
Databricks,"salesforce.com, inc.",Customer support ticketing.
Databricks,"Slack Technologies, Inc.",Customer support.
Databricks,"SupportLogic, Inc.",Monitor quality of service in responding to support tickets.
Databricks,Databricks Federal LLC,
Databricks,Databricks B.V.,
Databricks,Databricks U.K. Limited,
Databricks,Databricks Australia Pty Ltd,
Databricks,Databricks SARL,
Databricks,Databricks GmBH,
Databricks,Databricks Asiapac Unified Analytics Pte. Ltd.,
Databricks,Databricks Japan K.K.,
Databricks,Databricks India Private Limited,
Databricks,Databricks Canada ULC,
Databricks,Databricks Italy S.r.l.,
Databricks,Databricks Sweden AB,
Databricks,Databricks Switzerland GmbH,
Databricks,Databricks Spain S.L.,
Databricks,Databricks Korea LLC,
Databricks,Databricks New Zealand Limited,
Databricks,Databricks Costa Rica SRL,
Databricks,Databricks doo Beograd,
Databricks,Databricks Brazil Ltda.,
Clay,Amazon Web Services,Cloud provider
Clay,Amplitude,Data analytics
Clay,Anthropic,LLM provider/hosting
Clay,Braintrust,LLM Operations
Clay,Datadog,APM and security
Clay,Segment,Data analytics
Clay,Snowflake,Data analytics
Clay,Browserbase,LLM Operations
Clay,Cohere,LLM operations
Clay,Cube Dev,Data analytics
Clay,Fireworks,LLM provider/hosting
Clay,Fivetran,Data ETL
Clay,Google Gemini,LLM provider/hosting
Clay,Grafana,Logging and metrics
Clay,Intercom,Customer support
Clay,Langsmith,LLM logging and tracing
Clay,Mezmo,Logging and metrics
Clay,Mistral,LLM provider/hosting
Clay,OpenAI,LLM provider/hosting
Clay,Parallel Web Systems,LLM operations
Clay,Postmark,Email service provider
Clay,Raindrop.ai,LLM operations
Clay,Sentry,Error logging
Clay,SerpApi,LLM operations
Clay,Serper,LLM operations
Clay,Slack,Customer Support
Clay,Turbopuffer,Vector Database
Clay,Verisoul,Fraud Detection
Clay,WorkOS,Authentication support
Clay,Zapier,Data imports
Clay,Zenrows,LLM operations
Glean,Google Inc.,Cloud Service Provider
Glean,"Amazon Web Services, Inc.",Cloud Service Provider
Glean,"Intercom, Inc. (optional)",Cloud-based Customer Support Services (info shared: name and email address of the user)
Glean,"Sendgrid, Inc","Email Provider (info shared: first name, last name and email of the sender and recipient, document titles, document URLs, employee profile photo, employee join date)"
Glean,"OpenAI, Inc (optional)","Generative AI provider (info shared: User’s query and title, metadata and snippets from documented results. Metadata includes author name, date, document type)"
Glean,Azure (optional),"Generative AI provider (info shared: User’s query and title, metadata and snippets from document results. Metadata includes author name, date, document type)"
Glean,Glean,Emails sent to Sendgrid go through Glean’s GCP project (not persisted). Info shared is the same as Sendgrid
Pinecone,Confluent,Event Streaming
Pinecone,Zendesk,Customer service and technical support
Pinecone,Amazon Web Services (AWS),Cloud infrastructure and hosted services
Pinecone,Microsoft Azure,Cloud Infrastructure
Pinecone,Salesforce,Customer service and technical support
Pinecone,Google,Cloud infrastructure and hosted services
Pinecone,Twilio,Customer notifications
Pinecone,Pinecone Systems Ltd.,Operating affiliate
Pinecone,Pinecone Systems UK Ltd.,Operating affiliate
Grafana,"Alphabet Inc., Google (GCP)","Infrastructure, Cloud Service Provider"
Grafana,Microsoft Corporation (Azure),"Infrastructure, Cloud Service Provider"
Grafana,Amazon.com Inc. (AWS),"Infrastructure, Cloud Service Provider"
Grafana,Twilio Inc. (Sendgrid),"Email, Alerting for SaaS"
Grafana,Mailgun Technologies Inc.,"SMS, Alerting for SaaS"
Grafana,OpenAI,Optional: AI feature connectivity
Grafana,Anthropic,Optional: AI feature
Grafana,Palantir Technologies Inc.,For customers using Grafana’s Federal Cloud offering
Cohere,Google Cloud,Infrastructure service provider
Cohere,Fullstory,Software delivery platform
Cohere,LaunchDarkly,Feature Flagging
Cohere,New Relic,Platform Monitoring
Cohere,Retool,Software delivery platform
Cohere,Upollo,Fraud and Abuse Detection
Cohere,Hotjar,Customer support
Cohere,Sentry IO,Event and Error Handling
Cohere,Segment,Event and Error Handling
Cohere,Sendgrid,Email Communications
Cohere,Stripe,Billing
Cohere,Intercom,Customer support
Cohere,Vercel,Web Application Hosting
Cohere,Active Fence,Trust and Safety
Hebbia,OpenAI,LLM
Hebbia,Anthropic,LLM
Hebbia,Google - Gemini,LLM
Hebbia,Auth0,Identity provider for user accounts
Hebbia,Amazon Web Services,Cloud provider
Hebbia,Elastic,
Granola,"Anthropic, PBC","AI features such as note generation, ability to chat with notes, or generate artifacts such as follow up emails."
Granola,OpenAI,AI API
Granola,Deepgram,Transcription
Granola,"Retool, Inc.",Internal dashboards and tooling
Granola,Amazon Web Services,Cloud provider
Granola,Sentry,Cloud monitoring
Granola,"Stripe, Inc.",Payment processor
Granola,Vocify Inc.d/b/a Vellum,Proxy for LLM calls
Granola,Google Workspace,Identity provider
Granola,"AssemblyAI, Inc.",Transcription
Granola,Posthog,"Product analytics, session replays, feature flags, A/B testing, surveys"
Snowflake,Amazon Web Services,Cloud hosting and infrastructure provider
Snowflake,Amazon Web Services,Simple Email Service (SES) for optional customer-configured notifications
Snowflake,Amazon Web Services,Snowflake Data Clean Rooms Web App
Snowflake,Amazon Web Services,Native app security scanning for customer accounts in Google Cloud Platform regions
Snowflake,Microsoft Azure,Cloud hosting and infrastructure provider
Snowflake,Google Cloud Platform,Cloud hosting and infrastructure provider
Snowflake,Cloudflare,R2 cloud storage for optional use in connection with Snowflake’s Egress Cost Optimizer feature
Figma,"Agora, Inc.","Figma uses Agora, Inc. for voice and audio services."
Figma,"Amazon Web Services, Inc.","Figma uses Amazon Web Services, Inc. to process and store user data for the duration set forth in the user's (or its organization's) agreement with Figma for hosting services and as a service provider for AI-enabled functionality."
Figma,Anthropic PBC,Figma uses Anthropic as a service provider for AI-enabled functionality.
Figma,"Cloudflare, Inc.","Figma uses Cloudfare, Inc. for web infrastructure support."
Figma,"Datadog, Inc.","Figma uses Datadog, Inc. for infrastructure monitoring."
Figma,"dbt Labs, Inc. (dbt Cloud)",Figma uses dbt Cloud for data analytics.
Figma,Decagon AI,Figma uses Decagon AI to provide self-serve automation for customer support inquiries.
Figma,"Functional Software, Inc. (Sentry)","Figma uses Functional Software, Inc. for application error tracking and monitoring."
Figma,"Gainsight, Inc.","Figma uses Gainsight, Inc. to host and provide one of Figma’s publicly available support forums."
Figma,Google LLC (Firebase),Figma uses Google Firebase to send push notifications on mobile apps (iOS and Android).
Figma,Google LLC (Gemini),Figma uses Google Gemini as a service provider for AI-enabled functionality.
Figma,"Hex, Inc.","Figma uses Hex, Inc. for data analytics."
Figma,"Jasper AI, Inc.",Service provider for AI-enabled functionality.
Figma,Microsoft Corporation (Azure),Figma uses Microsoft Corporation (Azure) to process and store user data for the duration set forth in the user’s (or its organization’s) agreement with Figma for hosting services and as a service provider for AI-enabled functionality.
Figma,"OpenAI, LLC",Service provider for AI-enabled functionality.
Figma,Premier Talent Partners,Service provider for contractor staffing for Figma’s Product Support team to maintain customer service levels.
Figma,"SendGrid, Inc.","Figma uses SendGrid, Inc. for cloud-based email notification services."
Figma,"Sprinklr, Inc.","Figma uses Sprinklr, Inc. for cloud-based customer support services."
Figma,"Snowflake, Inc.","Figma uses Snowflake, Inc. for cloud-based data warehouse."
Figma,"Twilio, Inc.","Figma uses Twilio, Inc. for identity management."
Figma,"Zendesk, Inc.","Figma uses Zendesk, Inc. for cloud-based customer support services."
Figma,Figma wholly owned subsidiaries,Figma uses its subsidiaries and employees of its subsidiaries to carry out processing as if it were conducted by Figma itself.
Cyera,Cyera Ltd.,
Cyera,"Cyera US, Inc.",
Cyera,Trail Security Inc.,
Cyera,Trail Security Ltd.,
Cyera,"Amazon Web Services, Inc.",Hosted Services Provider
Cyera,Google Cloud Platform,Hosted Services Provider
Cyera,Microsoft Azure,Hosted Services Provider
Cyera,Oracle Cloud,Hosted Services Provider
Cyera,Snowflake,Data analytics warehouse
Cyera,Frontegg,User authentications
Cyera,Coralogix,Internal application Log collection. No user information collected
Cyera,Workato,Integrations hub
Cyera,Tableau,BI Tools
Cyera,Clickhouse,Logging services
Jasper,Amplitude,Analytics & Reporting
Jasper,dbt Cloud,Analytics & Reporting
Jasper,Fivetran,Analytics & Reporting
Jasper,LogRocket,Analytics & Reporting
Jasper,Mode,Analytics & Reporting
Jasper,Productboard,Analytics & Reporting
Jasper,Chargehound,Billing
Jasper,Churnkey,Billing
Jasper,Maxio,Billing
Jasper,Stripe,Billing
Jasper,Google Workspace,Email
Jasper,SendGrid,Email
Jasper,LaunchDarkly,Engineering
Jasper,FingerprintJS,Fraud Prevention
Jasper,SerpApi,Geocoding
Jasper,Cloudflare,Infrastructure
Jasper,Google Cloud,Infrastructure
Jasper,Vercel,Infrastructure
Jasper,Paragon,Integrations (option agentic features)
Jasper,Anthropic,LLM (option agentic features)
Jasper,Cohere,LLM (option agentic features)
Jasper,Google Gemini,LLM (option agentic features)
Jasper,OpenAI,LLM (option agentic features)
Jasper,Datadog,Logging
Jasper,Splunk,Logging
Jasper,Transcend,Privacy
Jasper,ADA,Support
Jasper,Grain,Support
Jasper,Retool,Support
Jasper,Slack,Support
Jasper,Zendesk,Support
Cloudflare,"Slack Technologies, Inc.",Customer support communications
Cloudflare,"Zendesk, Inc.",Customer support and account management
Cloudflare,"Salesforce, Inc.",Customer support and account management
Cloudflare,Google LLC,"Cloudflare Developer Platform, Cloudflare Zero Trust and AI Gateway"
Cloudflare,"Oracle America, Inc.",Cloudflare Developer Platform and Cache Reserve
Cloudflare,Amazon Web Services (AWS),Cloudflare Email Security (formerly Area 1)
Cloudflare,"CoreWeave, Inc.",Workers AI
Cloudflare,Nebius BV,Workers AI
Cloudflare,Anthropic PBC,AI Gateway
Cloudflare,"OpenAI, Inc.",AI Gateway
Cloudflare,X.AI Corp.,AI Gateway
Cloudflare,"Groq, Inc.",AI Gateway
Cloudflare,Cloudflare Ltd.,
Cloudflare,Cloudflare Pte. Ltd.,
Cloudflare,Cloudflare Australia Pty Ltd,
Cloudflare,Cloudflare Germany GmbH,
Cloudflare,"Cloudflare Portugal, Unipessoal Lda.",
Cloudflare,Cloudflare France SAS,
Cloudflare,Cloudflare Japan K.K.,
Cloudflare,"Cloudflare (Canada) Information Technology Co., Ltd.",
Cloudflare,Cloudflare Netherlands B.V.,
Cloudflare,Cloudflare Middle East FZ-LLC,
Cloudflare,Cloudflare India Private Limited (for India customers only),
Cloudflare,"Area 1 Security, LLC",
Cloudflare,Cloudflare Korea LLC,
Cloudflare,Cloudflare Mexico S. de R.L de C.V.,
Cloudflare,Cloudflare Malaysia Sdn. Bhd.,
Cloudflare,Cloudflare Capability Center (India) Private Limited,
Cloudflare,Cloudflare Sweden AB,
Langfuse,"Amazon Web Services, Inc.",Application Hosting
Langfuse,Clickhouse Inc.,Application Hosting
Langfuse,Google LLC,Application Hosting
Langfuse,"Posthog, Inc.",Product metrics
Langfuse,"Datadog, Inc.",Application logs
Langfuse,"Cloudflare, Inc.",Web Application Security and file storage
Langfuse,"Functional Software, Inc. d/b/a Sentry",Application logs
Langfuse,"Amazon Web Services, Inc.",Application Hosting
Langfuse,Clickhouse Inc.,Application Hosting
Langfuse,Google LLC,Application Hosting
Langfuse,"Posthog, Inc.",Product metrics
Langfuse,"Datadog, Inc.",Application logs
Langfuse,"Cloudflare, Inc.",Web Application Security and file storage
Langfuse,"Functional Software, Inc. d/b/a Sentry",Application logs
Langfuse,"Amazon Web Services, Inc.",Application Hosting
Langfuse,Clickhouse Inc.,Application Hosting
Front,Ably Realtime Ltd.,Real-time events
Front,"Algolia, Inc.",Searching functionality
Front,"Amazon Web Services, Inc.",Cloud hosting; Content delivery network; AI-enabled functionality
Front,"Azure by Microsoft Corporation, Inc.",AI-enabled functionality
Front,"ClickHouse, Inc.",Reporting and analytics; Conversation transcription
Front,"Datadog, Inc.",Backend infrastructure services
Front,"Fastly, Inc.",Caching service provider
Front,"Google, LLC",Emailing and office applications; AI-enabled functionality
Front,"Grammarly, Inc.",Grammar Checker and Writing
Front,"Observe, Inc.",Backend infrastructure services
Front,Omni Analytics Inc.,Data analytics dashboarding
Front,"OpenAI, Inc.",AI-enabled functionality
Front,"Sendgrid by Twilio, Inc.",Email service provider
Front,"Snowflake, Inc.",Data warehouse services
Front,"FrontApp, Inc.",Technical and Operational Support for all Front Services.
Front,FrontApp SARL,Customer Support Operations
Front,FrontApp Ireland Limited,Customer Support Operations
Ada,Amazon AWS,Hosting
Ada,Anthropic,Artificial intelligence models
Ada,Apify Technologies,Scrape knowledge from selected web pages
Ada,Chameleon,In-product tours and onboarding
Ada,ClickHouse,Analytics
Ada,CloudAMQP,Web Broker Hosting
Ada,Confluent,Data pipelines and analytics
Ada,Datadog,Logging
Ada,Deepgram,Automated Speech Recognition (ASR)
Ada,Elastic NV,"Answer prediction, database hosting"
Ada,ElevenLabs,Generated Text-to-speech (TTS)
Ada,Google Cloud,"Message Translation, Text-to-speech (TTS), Automated Speech Recognition (ASR)"
Ada,"LangChain (effective May 30, 2025)",Logging
Ada,Looker (Google Cloud),Business Intelligence and Analytics
Ada,MongoDB Atlas,Database Hosting
Ada,Microsoft Azure,Database Hosting; Text-to-Speech for Voice
Ada,Microsoft Azure’s OpenAI (Microsoft Corporation),Artificial intelligence models
Ada,OpenAI,Artificial intelligence models
Ada,PostHog,Analytics
